File,FAQ_Number,Question,Answer,AskAngela Response
PEP Policy.txt,19,What are the consequences of failing to improve performance during a PEP?,"Failure to improve may lead to disciplinary action, including termination of employment.  The specific consequences are outlined in the PEP and discussed during review meetings.","If an employee fails to improve their performance during a Performance Enabler Program (PEP), there are specific consequences:

- If performance does not improve sufficiently by the review date, the employee *may be issued with a first written warning* or a *first written improvement note*.
- If the PEP is assessed as unsuccessful due to no overall or insufficient improvement, the matter will *proceed with disciplinary procedure involving HRBP for termination* (with notice period pay in lieu)."
PEP Policy.txt,20,What other policies should I be aware of in relation to PEP?,"This policy should be read in conjunction with Angel One's Code of Conduct, Grievance Policy, Whistleblower Policy, Prevention, Prohibition and Redressal of sexual harassment policy, and other relevant policies and applicable laws.","The term 'PEP' is used in the policies in two contexts: *Performance Enablement Policy* and *Politically Exposed Persons*.

Regarding the *Performance Enablement Policy* (PEP), the policies indicate that regulatory circulars are taken into consideration for its preparation. Specifically, *CIR/MIRSD/1/2014 dt. 12.3.2014 - AML/CFT Obligations of securities market intermediaries under PMLA - 2002* is mentioned.

In the context of *Politically Exposed Persons* (PEPs), the same *CIR/MIRSD/1/2014 dt. 12.3.2014 - AML/CFT Obligations of securities market intermediaries under PMLA - 2002* circular outlines additional norms that are applicable to PEP accounts, including those of family members or close relatives."
Performance Management Policy 2025.txt,1,What is the purpose of the AngelOne Performance Management Policy?,"The policy aims to create a structured, transparent, fair, equitable, and inclusive system for evaluating employee performance, aligning it with organizational goals. It provides clear expectations, a structured feedback process for growth, and links performance to rewards.",The AngelOne Performance Management Policy is designed to establish a structured and transparent approach for evaluating employee performance. This evaluation is done in alignment with the organization's goals.
Performance Management Policy 2025.txt,2,Who is eligible for the Annual Performance Appraisals for F.Y. 2024-2025?,"All active full-time employees who joined on or before December 31, 2024, and are not part of a Career Progression Plan (CPP), Performance Enabler Program, Behavioral Inquiry, or Compliance Investigation are eligible.  The outcome of any investigations will determine eligibility.","To be eligible for the Annual Performance Appraisals for F.Y. 2024-2025, employees must meet the following criteria:

- Be an *active full-time employee*.
- Have joined on or before *31st December 2024*.
- Not be covered under the *Career Progression Plan (CPP)*.
- Not be part of a *Performance Enabler Program*, *Behavioral Inquiry*, or *Compliance Investigation*. The outcome of any such investigations will determine evaluation."
Performance Management Policy 2025.txt,3,What is the review period for the 2024-2025 performance appraisal?,"The review period is from April 1, 2024, to March 31, 2025.",The evaluation of performance for the Annual Performance Appraisals for F.Y. 2024-25 will be for the period of *1st April 2024 to 31st March 2025*.
Performance Management Policy 2025.txt,4,When will the revised compensation based on the performance appraisal take effect?,"Revised compensation for eligible employees will take effect on April 1, 2025.","The revised compensation for eligible employees will take effect on April 1, 2025."
Performance Management Policy 2025.txt,5,What is the process for the performance evaluation?,"The process involves: 1) Defining goals with the manager; 2) Employee self-review, including self-rating; 3) Manager feedback on the self-review and a recommended rating; 4) Review and calibration of ratings at HOD and CXO levels; 5) Final rating shared with the manager for discussion with the employee.","The process for performance evaluation at AngelOne involves several steps:

-   The employee conducts a *self-review* of their performance during the Annual Appraisal cycle. This includes assessing goals, overall performance, achievements, strengths, developmental areas, and providing a self-rating.
-   Following the self-review, the manager provides *feedback* on the employee's inputs and recommends a rating.
-   The ratings and feedback are then reviewed and discussed at the HOD and CXO levels.
-   After this review, the *final rating* for the employee is calibrated and shared back with the manager.
-   Finally, the manager is responsible for closing the feedback discussion with the employee."
Performance Management Policy 2025.txt,6,What is the rating scale used in the performance appraisal?,"The rating scale ranges from 0 (Unsatisfactory) to 4 (Exceptional), with corresponding achievement percentages: 0 (61-70%), 1 (71-90%), 2 (91-110%), 3 (111-130%), and 4 (131-140%).","The performance appraisal uses a rating scale with the following levels:

- *Rating Scale*: 4
 - *Rating Description*: Exceptional (EX)
 - *Achievement %*: 131-140

- *Rating Scale*: 3
 - *Rating Description*: Exceeds Expectation (EE)
 - *Achievement %*: 111-130

- *Rating Scale*: 2
 - *Rating Description*: Meets Expectation (ME)
 - *Achievement %*: 91-110

- *Rating Scale*: 1
 - *Rating Description*: Development Needed (DN)
 - *Achievement %*: 71-90

- *Rating Scale*: 0
 - *Rating Description*: Unsatisfactory (UNS)
 - *Achievement %*: 61-70"
Performance Management Policy 2025.txt,7,How are the achievement percentages determined?,The policy does not explicitly detail the calculation of achievement percentages.  This would be clarified during the goal-setting process with the manager.,"The policies link *Achievement %* ranges to specific performance ratings, such as 131-140% for an *Exceptional* rating or 91-110% for *Meets Expectation*. It is also stated that managers are expected to *fairly assess the performance* of employees against their *goals and achievements*.

However, the policies do not include complete details about the specific methodology or calculation used to determine these achievement percentages."
Performance Management Policy 2025.txt,8,What should I do if I have questions about a specific provision of the policy?,Contact your HR Business Partner (HRBP) for clarification.,"If you have questions or need guidance about a policy, you can contact the following:

- Your *Line manager* or *Skip Manager*
- *HR Business Partner*
- *People Relations team*"
Performance Management Policy 2025.txt,9,Who is responsible for interpreting the policy provisions?,The functional policy owners are responsible for interpreting the provisions of this policy.,The *functional director(s)* are responsible for the interpretation of the provisions of this policy.
Performance Management Policy 2025.txt,10,How are exceptions to the policy handled?,Any exception to the enforcement of this policy requires approval from the Group Chief Human Resources Officer.,Any exception to the enforcement of a policy needs to be approved by subhash.menon@angelbroking.com.
Performance Management Policy 2025.txt,11,Can the policy be changed?,"Yes, this policy is subject to change at any time by AngelOne.  Any amendments will be communicated in writing.","Yes, the policy can be changed. Any amendments or additions to the policy will be communicated in writing and will become part of the policy. The policy is also subject to change at any given time by Angel One, and the company's decision will be final and binding."
Performance Management Policy 2025.txt,12,What is the final authority on decisions regarding this policy?,The company's decision is final and binding.,The final authority on decisions regarding this policy rests with the company. The decision of the company shall be final and binding.
Performance Management Policy 2025.txt,13,Who are the primary contact persons for questions about this policy?,The primary contacts vary by organizational group and are listed in the Contact Matrix (Section 7).,The policies do not mention specific information about primary contact persons for questions about this policy. I'm unable to provide details on this particular question.
Performance Management Policy 2025.txt,14,Who owns this policy?,The Rewards Team owns this policy.,The policies do not mention specific information about *policy ownership*. I'm unable to provide details on this particular question.
Performance Management Policy 2025.txt,15,When did this policy come into effect?,"This policy came into effect on April 1, 2024.",This policy came into effect on *04 October 2024*.
Performance Management Policy 2025.txt,16,When will this policy be reviewed next?,"The next review date is January 1, 2026.",The next review date for this policy is *31.03.2026*.
Performance Management Policy 2025.txt,17,What happens if my performance is rated as 'Development Needed' or 'Unsatisfactory'?,"The policy does not specify penalties for these ratings, but it implies that a performance improvement plan or other developmental actions might be implemented.  Further details should be discussed with your manager.",The policies do not mention specific information about the consequences of a performance rating of 'Development Needed' or 'Unsatisfactory'. I'm unable to provide details on this particular question.
Performance Management Policy 2025.txt,18,How will I receive feedback on my performance appraisal?,Feedback will be provided through a discussion with your manager after the rating process is complete.  The final rating will be shared with your manager for this discussion.,"After you complete your self review, your manager will provide feedback on your inputs and a recommended rating. This feedback and rating will then be reviewed and discussed at the HOD and CXO level. Following this, the final rating will be calibrated and shared back with your manager, who will then close the feedback discussion with you."
Performance Management Policy 2025.txt,19,What is the document ID for this policy?,The document ID is 2.0,The policies do not mention specific information about a document ID for this policy. I'm unable to provide details on this particular question.
Performance Management Policy 2025.txt,20,What should I do if I believe my performance rating is unfair?,"First, discuss your concerns with your manager. If the issue is not resolved, you should follow the escalation path outlined in the policy, possibly contacting HRBPs or the Group Chief Human Resources Officer as appropriate.",The policies do not mention specific information about the process for addressing concerns regarding an unfair performance rating. I'm unable to provide details on this particular question.
Policy and FAQ for Consultants and Retainers.txt,1,What is the purpose of this policy document?,"This document outlines the responsibilities and procedures for consultants and retainers working with Angel One Ltd., ensuring a productive engagement.","The policies mention several purposes for different documents. To provide you with the correct information, could you please specify which policy you are referring to?

For example, are you asking about the purpose of the policy related to:
- Employee *Performance Enablement Plan* (PEP)?
- The dress code?
- Employee absence without notice?
- *Gifts and Hospitality*?
- Financial assistance for work from home setup?
- *Group Parental Policy* for medical benefits?
- The equal opportunity employer policy?
- Employee transfers?"
Policy and FAQ for Consultants and Retainers.txt,2,What login credentials are provided to consultants and retainers?,Consultants and retainers receive an official email ID for all official communication.  Laptops are not provided unless approved by Head HR and Talent Acquisition with a valid reason.,Consultants / Retainers will be provided with an *official email ID* for all official communication during their tenure.
Policy and FAQ for Consultants and Retainers.txt,3,What platforms will consultants and retainers have access to?,"Access is provided to Darwinbox HRMS, including the Learning Management System and HR Assist (ticketing tool).","Consultants / Retainers will be provided access to *Darwinbox HRMS*, which includes *Learning Management Systems* and *HR Assist* (ticketing tool)."
Policy and FAQ for Consultants and Retainers.txt,4,What onboarding tasks must consultants and retainers complete?,"Complete your Darwinbox HRMS profile, including personal information (profile picture, blood group, addresses, emergency contact), bank details, and uploading a cancelled cheque, PAN, and Aadhar.","Consultants / Retainers are required to complete their profile on *Darwinbox HRMS* >> Personal Profile section by updating the following personal information and documents (where applicable):

- Profile Picture
- Blood Group
- Current Address
- Permanent Address
- Emergency Address and Contact Number
- Bank Account Number
- Bank Name
- Bank IFSC Code
- Upload Cancelled Cheque
- PAN
- Aadhar"
Policy and FAQ for Consultants and Retainers.txt,5,Which company policies apply to consultants and retainers?,"All consultants and retainers must adhere to Angel One's company policies, including PROSH, Prevention of Money Laundering, Vigil Mechanism and Whistleblower, Information Security, Code of Conduct and Ethics, Grievance, Leave and Attendance, and Mandatory Training. These are accessible via Darwinbox.","The following policies are applicable to Consultants / Retainers:

- PROSH (Prevention and Redressal of Sexual Harassment)
- Prevention Money Laundering
- Vigil Mechanism and Whistleblower
- Information security
- Code of Conduct and Ethics
- Grievance
- Leave and Attendance
- Mandatory Training

These policies are uploaded in the HRMS Platform, Darwinbox >> Dashboard >> HR Policies."
Policy and FAQ for Consultants and Retainers.txt,6,What are the consequences of violating company policies?,Violation or non-compliance with company policies may result in appropriate disciplinary action.,"Violating company policies can lead to a range of consequences, including:

- *Disciplinary action*: This can vary based on the severity of the offense, from verbal warnings to termination of employment or dismissal.
- *Other negative job consequences*: These may include various adverse outcomes related to employment.
- *Arrest and prosecution*: For any criminal acts involved in the violation, employees may face arrest and legal prosecution.

The specific disciplinary actions are determined as per the disciplinary policy, which provides a structured approach to handle violations."
Policy and FAQ for Consultants and Retainers.txt,7,What mandatory training modules must be completed?,"Mandatory modules include Anti-Money Laundering, Prevention & Redressal of Sexual Harassment (PROSH), and Whistle-blower - Vigilance.  Infosec Awareness Training is also mandatory.","You are required to complete the following mandatory training modules:

- Anti-Money Laundering
- Prevention & Redressal of Sexual Harassment (PROSH)
- Whistle-blower - Vigilance
- Infosec Awareness Training"
Policy and FAQ for Consultants and Retainers.txt,8,What is the deadline for completing mandatory training modules?,All mandatory modules must be completed within 3 days of your start date or as assigned.,You are required to complete all mandatory modules within *3 days* from your date of joining or as and when they are assigned to you. This timeline also applies specifically to the *Infosec Awareness Training*.
Policy and FAQ for Consultants and Retainers.txt,9,Where can I find the mandatory training modules?,The modules are located on the Angel iLearn platform within Darwinbox.  Instructions for accessing them are provided in the document.,"The mandatory training modules are located on the *Angel iLearn platform* within *Darwinbox*.

For modules such as Anti-Money Laundering, Prevention & Redressal of Sexual Harassment (PROSH), and Whistle-blower - Vigilance, you will find them under the 'Induction Journey' section on the *iLearn platform*.

The *Infosec Awareness Training* module is also available on the *Darwinbox* home page; you can access it by clicking on ""Infosec Awareness Training."""
Policy and FAQ for Consultants and Retainers.txt,10,What happens if I don't complete the mandatory training modules on time?,Failure to complete modules on time may lead to escalation to your reporting manager and/or delays in stipend payments.,"Failing to complete all mandatory modules within the stipulated time will result in escalations to your Reporting Manager. Additionally, this may lead to delays in the payout of your fees or salary.

To provide the most accurate information, could you please clarify if you are an employee, a Consultant, or a Retainer?"
Policy and FAQ for Consultants and Retainers.txt,11,"What is the Infosec Awareness Training, and how do I access it?","It's mandatory training on cybersecurity. Access it via Darwinbox, logging in with your angelbroking.com email ID via Google or using your organizational email ID and OTP.","The *Infosec Awareness Training* is a mandatory training module designed to educate employees about cybersecurity practices and information security protocols.

To access the training:
- Log in to your *Darwinbox* home page.
- Click on ""*Infosec Awareness Training*"".
- You can log in using either:
    - Your Google account with your angelbroking.com email ID.
    - Your organization email ID as the Username and the OTP sent to your email ID."
Policy and FAQ for Consultants and Retainers.txt,12,What are the steps for completing the Infosec Awareness Training?,"Watch all training videos, confirm understanding after each, and then complete the Cyber Security Awareness Assessment, requiring an 80% or higher score.","To complete the Infosec Awareness Training, follow these steps:

-   **Accessing the Training:**
    -   Log in to the Darwinbox home page.
    -   Click on ""Infosec Awareness Training.""
    -   Log in using ""Login with Google"" with your angelbroking.com email ID, or by entering your organisation email ID as the Username and the OTP sent to your email.
-   **During the Training:**
    -   Click on 'Start training' on the homepage.
    -   Select the course and begin viewing the videos.
    -   After each video, click on ""I hereby confirm that I have viewed and understood the content"" to proceed.
    -   Once all videos are completed, accept the ""Acknowledgement"" to continue with the Cyber Security Awareness Assessment.
-   **Assessment:**
    -   You must score 80% or above on the Cyber Security Awareness Assessment to pass."
Policy and FAQ for Consultants and Retainers.txt,13,What if I fail the Infosec Awareness Assessment?,"If you don't score 80% or higher, you'll need to retake the assessment. Contact your HR Business Partner for guidance.","If you do not achieve the required score of 80% or above on the Cyber Security Awareness Assessment, you may need to retake the assessment to obtain your Certificate. For any additional steps, please check with your HR Business Partner."
Policy and FAQ for Consultants and Retainers.txt,14,What is the attendance policy for consultants and retainers?,Daily clock-in via Darwinbox (web or mobile) at 9:30 AM is required.  Attendance records in Darwinbox determine monthly stipend payments.,"Consultants / Retainers are required to Clock-in their attendance on every work day. This must be done through the Darwinbox HRMS via the web or mobile application, once at the start of their day, specifically at 9:30 a.m. The attendance record captured in Darwinbox HRMS will be used for processing their monthly stipend."
Policy and FAQ for Consultants and Retainers.txt,15,Am I entitled to any leave as a consultant or retainer?,"You're entitled to 3 personal leave days per quarter, with no carry-over or encashment. Maternity leave is available for women after 80 days of employment.","Yes, as a Consultant or Retainer, you are entitled to avail 3 days of personal leave in a quarter. These leaves are credited at the beginning of each quarter and cannot be carried forward or encashed.

Additionally, women Consultants or Retainers are entitled to Maternity Leave only after completing 80 days from their date of joining Angel One."
Policy and FAQ for Consultants and Retainers.txt,16,What public holidays apply to consultants and retainers?,The public holidays applicable to your department also apply to you.  The holiday list is available in Darwinbox.,"Public holidays applicable to Consultants / Retainers are the same as those for the Department.

The Holiday list is updated in Darwinbox under *Dashboard* >> *Leave* >> *Holiday List*, visible from January 1st each year. The Company follows the calendar year for updating the Public Holidays list, which is approved by the National Stock Exchange (NSE), Multi Commodity Exchange (MCX), and NCDEX. This list is circulated by these exchanges in the last week of December for the upcoming calendar year.

The number of applicable Public Holidays might differ for those working in the Commodities & Currencies line of business or specific role(s)."
Policy and FAQ for Consultants and Retainers.txt,17,How is my stipend determined and paid?,Your stipend is determined before your engagement begins based on your role. Payment is based on monthly attendance and is credited to your bank account on record in Darwinbox by the 7th of each month.,"Your stipend is determined *before* your hiring, based on your role (whether it is a technical or non-technical position).

Regarding payment, your stipend will be credited to the bank account you have on record and updated in Darwinbox HRMS. The amount is calculated based on your attendance for the month, and the payout is processed by the 7th of each month."
Policy and FAQ for Consultants and Retainers.txt,18,How do I find out who my HR Business Partner is?,Your HR Business Partner's name is listed in your Darwinbox profile under 'View Profile'.,You can find out who your HR Business Partner is by checking your profile in *Darwinbox*. Navigate to *Darwinbox* and then select *View Profile*.
Policy and FAQ for Consultants and Retainers.txt,19,Who should I contact for IT support?,Contact the IT Helpdesk at itsupportdesk@angelbroking.com.,"For IT support, you can reach out to the IT Helpdesk at itsupportdesk@angelbroking.com."
Policy and FAQ for Consultants and Retainers.txt,20,Who should I contact for issues with Infosec login?,Contact the Infosec team at infosec@angelbroking.com.,"If you encounter issues logging into Infosec, please send an email to the Infosec team at *infosec@angelbroking.com* for assistance."
PREVENTION OF MONEY LAUNDERING.txt,1,What is the purpose of Angel Group's Anti-Money Laundering (AML) policy?,"The policy aims to ensure compliance with the Prevention of Money Laundering Act, 2002 (PMLA), and associated regulations,  by establishing procedures to prevent the use of Angel Group's services for money laundering or terrorist financing activities. This includes client due diligence, transaction monitoring, and reporting suspicious activities.","The purpose of Angel Group's Anti-Money Laundering (AML) policy is to ensure compliance with the Prevention of Money Laundering Act, 2002 (PMLA, 2002). This policy statement is part of the overall procedures adopted by Angel Group of Companies to implement the Anti-Money Laundering provisions envisaged under the PMLA, 2002."
PREVENTION OF MONEY LAUNDERING.txt,2,Which Angel Group companies are covered by this AML policy?,"The policy applies to all Angel Group companies mentioned: Angel Broking Pvt. Ltd., Angel Securities Ltd., Angel Commodities Broking Pvt. Ltd., and Angel Financial Advisors Pvt. Ltd., including all their branches and regional offices.","This AML policy applies to *all Angel Group Companies*, including all their *branches* and *regional offices*."
PREVENTION OF MONEY LAUNDERING.txt,3,What is Client Due Diligence (CDD) and how does Angel Group implement it?,"CDD involves verifying the identity of clients and beneficial owners, understanding their ownership structure, and continuously monitoring transactions for suspicious activity. Angel Group's CDD includes obtaining sufficient information to identify beneficial owners, verifying identities using reliable sources, and ongoing scrutiny of transactions to ensure consistency with the client's known profile and risk.","Client Due Diligence (CDD) is a process that involves client profiling and monitoring, forming part of a Comprehensive System of Internal Control within Angel Group.

Angel Group implements CDD through several key measures:
- A *strict client profiling and monitoring system*.
- A *Policy for acceptance of clients*.
- A *Procedure for identifying the clients*.
- *Transaction monitoring and reporting*, particularly *Suspicious Transactions Reporting (STR)*.
- An initial screening of all new clients based on details such as *Client type*, residential status, nationality, occupation, and income.
- The ability to rely on third parties for identification and verification of client identity and beneficial owner determination.
- A screening process for all new clients at the time of account opening, where applications are rejected if a match is found in the *UNSC list*."
PREVENTION OF MONEY LAUNDERING.txt,4,What is Angel Group's policy on accepting clients?,"Angel Group will not open accounts in fictitious or anonymous names.  They assess client risk based on location, business activity, turnover, and payment methods, categorizing clients as low, medium, or high risk.  Enhanced due diligence is applied to higher-risk clients. Accounts are not opened if appropriate CDD measures cannot be applied.","Angel Group has a policy of implementing a *strict client profiling and monitoring system*. This system is part of a Comprehensive System of Internal Control.

Key aspects of the policy include:
- The information required from clients depends on their *risk category*.
- Angel may rely on third parties for the *identification and verification* of a client's identity.
- This includes determining if the client is acting on behalf of a *beneficial owner*, and then identifying and verifying the identity of that *beneficial owner*.
- These procedures are part of the overall Anti-money Laundering (PMLA, 2002) provisions implemented by Angel Group of Companies."
PREVENTION OF MONEY LAUNDERING.txt,5,How does Angel Group identify and verify clients?,"Angel Group uses reliable sources, including original documents, to verify client identity. They implement procedures to identify Politically Exposed Persons (PEPs), obtain senior management approval for relationships with PEPs, and verify their source of funds.  They also check for matches against criminal databases.","Angel Group identifies and verifies clients through a comprehensive process.

For new clients, an initial *screening* is conducted at the time of account opening. This *screening* is based on details such as:
- *Client type*
- *Residential status*
- *Nationality*
- *Occupation*
- *Income details*

During this process, applications are rejected if a client matches any entry on the *UNSC list*. Angel may also rely on third parties for client *identification* and *verification*.

For existing clients, fresh information regarding financial details and *net worth* is periodically sought to update their profiles. Clients are informed of the reasons for seeking this information, referencing *regulator guidelines* to ensure cooperation."
PREVENTION OF MONEY LAUNDERING.txt,6,How does Angel Group monitor transactions and report suspicious activity?,"Angel Group monitors transactions using internal and external alerts (from CDSL and exchanges), analyzing patterns for unusual activity, large transactions, or inconsistencies. Suspicious transactions are reported to higher authorities within Angel Group and, if necessary, to the Financial Intelligence Unit-India (FIU-IND) within 7 days.","Angel Group monitors transactions through a *strict client profiling and monitoring system* as part of its Comprehensive System of Internal Control.

For suspicious activity, the group focuses on *Transaction monitoring and reporting*, specifically *Suspicious Transactions Reporting (STR)*. Angel Group is also active in the identification and assessment of potentially suspicious transactions and facilitates their onward reporting. Further details regarding indicative types of Suspicious Transactions, Abandoned Transactions, *TAT* for reporting Suspicious Transactions, and additional due diligence for transactions from clients from high risk countries are outlined in the *SEBI circular*."
PREVENTION OF MONEY LAUNDERING.txt,7,What are some examples of suspicious transactions?,"Suspicious transactions may include unusually large or complex transactions with no clear economic purpose, multiple accounts with a common holder, unexplained transfers, activity inconsistent with the client's profile, or transactions just below reporting thresholds.","Examples of suspicious transactions include:

*Activity in Accounts*
- Unusual activity compared to past transactions
- Use of different accounts by clients
- Sudden activity in dormant accounts
- Activity inconsistent with a client’s source of income or nature of business
- Account used for circular trading

*Nature of Transactions*
- Unusual or unjustified complexity
- No economic rationale or bonafide purpose
- Doubtful source of funds
- Appears to be a case of insider trading
- Transactions reflecting likely market manipulations
- Suspicious off-market transactions

*Value of Transactions*
- Value just under the reporting threshold amount in an apparent attempt to avoid reporting
- Inconsistent with the client's apparent financial standing
- Inconsistency in the payment pattern by the client

*Multiple Accounts*
- Multiple accounts having a common account holder
- Unexplained transfers between multiple accounts"
PREVENTION OF MONEY LAUNDERING.txt,8,What is Angel Group's procedure for dealing with designated individuals or entities?,"Angel Group screens new and existing clients against the UNSC sanctions list and other relevant lists. If a match is found, the account is either rejected (for new clients) or reported to the authorities (for existing clients).","Angel Group has a procedure to deal with designated individuals or entities. The group continuously scans all existing accounts to ensure that no account is held by or linked to any entities or individuals included in a specific list. If accounts bear resemblance to any of the individuals or entities on this list, full details are immediately intimated to SEBI and FIU-IND, as per SEBI circular ISD/AML/CIR-2/2009 dt. October 23, 2009.

Additionally, Angel Group has adequate screening procedures for employees. Screening is carried out to ensure that an employee's name or PAN does not match with any barred, notified entity, or individuals with criminal records or those barred by regulators."
PREVENTION OF MONEY LAUNDERING.txt,9,What is Angel Group's procedure for freezing funds?,"Angel Group complies with the Unlawful Activities (Prevention) Act, 1967 (UAPA) and SEBI circulars regarding freezing funds related to terrorist financing.  The process involves screening clients against relevant lists and reporting to authorities if a match is found.","The available policies indicate that Angel Group continuously scans all existing accounts to ensure they are not held by or linked to any barred entities or individuals. Full details of accounts resembling those on a list are immediately intimated to SEBI and FIU-IND as per SEBI circular ISD/AML/CIR-2/2009. However, the policies do not include complete details about the specific procedure for freezing funds."
PREVENTION OF MONEY LAUNDERING.txt,10,How does Angel Group report to FIU-IND?,"Angel Group is registered with FIU-IND and uses their FIN-NET utility to report suspicious transactions.  The Principal Officer approves reports, and confidentiality is maintained throughout the process.","Angel Group reports to FIU-IND by uploading Suspicious Transactions (STRs) online. They are registered with FIU-IND for this purpose and use its FIN-NET utility, having been allotted a FIUREID number as a reference ID for uploading the STRs."
PREVENTION OF MONEY LAUNDERING.txt,11,Who is the designated officer for reporting suspicious transactions at Angel Group?,Angel Group has designated a Principal Officer (a Vice President) who also acts as the Compliance Officer. This individual has access to all relevant information and reports to senior management and the Board of Directors.,"The designated officer for reporting suspicious transactions at Angel Group is the *Principal Officer*.

This individual holds the rank of Vice President and also serves as the Company's Compliance Officer. The Principal Officer acts as a central reference point for facilitating the onward reporting of suspicious transactions and is actively involved in their identification and assessment. They have full access to all relevant data, information, and top management, including the Board of Directors. Suspicious transactions are reported within 7 days of being determined suspicious."
PREVENTION OF MONEY LAUNDERING.txt,12,What employee hiring and training procedures are in place at Angel Group?,"Angel Group conducts background checks on all employees, ensuring they meet suitability and competency requirements for key positions.  All employees receive AML/CFT training at induction, with ongoing training for different roles.  The AML policy is accessible to all staff.","Angel Group has a structured approach for employee hiring and training.

**Hiring Procedures:**
The recruitment process aims to secure qualified and appropriate candidates while fostering inclusivity, diversity, and merit. This policy applies to all companies within the Angel group, including Angel One Limited, Angel Financial Advisors Pvt. Ltd., Angel Fincap Pvt. Ltd., and Angel Securities Ltd.
The key steps involved are:
- Talent Planning & Budgeting
- Creating a Job request in the system
- Crafting the Job descriptions
- Job Posting & Sourcing Candidates
- Shortlisting & Interviewing
- Pre-Offer Check, which includes verification checks and screening to ensure candidates are not barred or have criminal records.

**Training Procedures:**
New Angelites undergo orientation to learn about company values, policies, and tools. Depending on the job requirement, new employees may receive training on specific skills or tools, which can be in-person or online and vary in duration. Additionally, certain job roles mandate passing an *assessment* after the training period for continued employment."
PREVENTION OF MONEY LAUNDERING.txt,13,How does Angel Group educate investors about AML requirements?,Angel Group sensitizes clients when requesting information by explaining the reasons and referencing regulatory guidelines. They may also use pamphlets or other materials to educate clients on the objectives of the AML/CFT program.,Angel Group educates investors about AML (Anti Money Laundering) and CFT (Combating Financing of Terrorism) requirements by preparing *specific literature* and *pamphlets*. These materials are designed to educate clients on the objectives of the AML/CFT programme.
PREVENTION OF MONEY LAUNDERING.txt,14,How often is Angel Group's AML policy reviewed?,"The AML policy is reviewed at least every three years, or more frequently as determined by top management.  A senior official, different from the one who prepared the previous version, conducts the review.",The policies do not mention specific information about how often Angel Group's AML policy is reviewed. I'm unable to provide details on this particular question.
PREVENTION OF MONEY LAUNDERING.txt,15,What is the retention period for client and transaction records?,Angel Group retains client and beneficial owner identification documents for five years after the business relationship ends or the account closes. Transaction records are kept for five years from the transaction date.  Records are maintained longer if under investigation.,"For client identity documents and records evidencing the identity of clients and beneficial owners, the retention period is *5 years* after the business relationship has ended or the account is closed.

For transaction records, the policies provide conflicting information. Some sections state that records related to transactions shall be preserved for a period of *5 years* from the date of the transaction or cessation of transactions. However, Rule 3 of PMLA Rules mandates that these records be maintained and preserved for a period of *ten years* from the date of transactions between the client and intermediary.

Could you please clarify which regulation or rule applies for the retention period of transaction records?"
PREVENTION OF MONEY LAUNDERING.txt,16,Are there any exceptions to the CDD requirements?,No. The policy states that there are no minimum investment thresholds or category-wise exemptions from carrying out CDD measures.  All clients are subject to CDD.,"No, there are no exceptions or exemptions from carrying out Client Due Diligence (CDD) measures for any category of clients. This includes no minimum investment threshold or category-wise exemption."
PREVENTION OF MONEY LAUNDERING.txt,17,What are the potential penalties for non-compliance with this AML policy?,"Non-compliance with the PMLA and related regulations can result in significant penalties, including fines and potential legal action for both the company and individuals involved.  Specific penalties are not detailed in this document but are governed by the PMLA and other relevant legislation.","The policies indicate that non-compliance with the Client Due Diligence (CDD) measures, specifically regarding the absence of minimum investment thresholds or category-wise exemptions for CDD, ""shall attract appropriate sanctions.""

However, the policies do not specify the exact nature or details of these sanctions."
PREVENTION OF MONEY LAUNDERING.txt,18,What constitutes a 'client of special category' (CSC) under this policy?,"CSCs include non-resident clients, high-net-worth individuals, trusts, charities, NGOs, companies with close family shareholdings, PEPs, companies offering foreign exchange, clients in high-risk countries, non-face-to-face clients, and clients with dubious reputations. This list is illustrative; Angel Group may classify other client types as CSCs.","Under this policy, a 'client of special category' (CSC) includes, but is not limited to, the following types of clients:

- Non-Resident clients
- High net-worth clients
- Trusts, Charities, Non-Governmental Organizations (NGOs), and organizations receiving donations
- Companies having close family shareholdings or beneficial ownership
- Non face to face clients
- Clients with dubious reputation as per public information available

It is important to note that this list is illustrative, and the intermediary should use independent judgment to determine if any other clients should be classified as CSC. Clients of Special Category are categorized as *High Risk Clients*."
PREVENTION OF MONEY LAUNDERING.txt,19,What is Angel Group’s approach to risk management related to AML?,"Angel Group employs a risk-based approach, applying enhanced CDD measures to higher-risk clients and simplified procedures for lower-risk clients.  Client risk categorization is periodically reviewed based on client status and financial details.","Angel Group's approach to risk management related to Anti-Money Laundering (AML) involves several key measures:

-   *Comprehensive System of Internal Control*: A robust system is implemented across the company to ensure adherence to guidelines.
-   *Strict Client Profiling and Monitoring System*: This includes an initial screening process for all new clients based on details like client type, residential status, nationality, occupation, and income.
-   *Client Due Diligence Process*: This encompasses policies for client acceptance, procedures for client identification, and ongoing transaction monitoring, with a particular focus on Suspicious Transactions Reporting (STR).
-   *Designation of a Principal Officer*: This officer is responsible for facilitating the reporting and assessment of potentially suspicious transactions.
-   *Employee Screening*: Rigorous screening procedures are in place for hiring to ensure high standards, checking against barred entities, criminal records, or regulatory bars.
-   *Staff Training and Awareness*: The AML policy is available to all staff to enhance their knowledge of regulatory guidelines and Angel Initiative."
