File,FAQ_Number,Question,Answer
codeofconduct17june25.txt,7,What is Angel One Group's stance on prohibited drugs and substances?,"Angel One Group strictly prohibits the possession, consumption, or distribution of prohibited drugs and substances at the workplace or during work-related activities.  Being under the influence of drugs or alcohol while on duty is also unacceptable."
codeofconduct17june25.txt,8,How does Angel One Group ensure transparency and auditability?,"Angel One Group promotes transparent and reasoned decision-making, open internal communication, and maintains auditable records.  Key decisions often involve multiple managers, and employees are expected to inform their Line Manager or HRBP of critical information."
codeofconduct17june25.txt,9,What is Angel One Group's policy on bribery and corruption?,"Bribery and corruption are strictly prohibited.  Employees should not offer or accept bribes or engage in any form of corruption.  Violations will result in disciplinary action, including potential termination and legal repercussions."
codeofconduct17june25.txt,10,What is the process for handling complaints?,"Employees can file complaints internally with their manager, HR, or management.  Complaints will be resolved quickly and fairly, with various redressal mechanisms available, including the Whistle Blower Policy and Grievance Policy.  Retaliation against those who report misconduct is strictly prohibited."
codeofconduct17june25.txt,11,What is Angel One Group's policy on insider trading?,Angel One Group has a strict policy prohibiting insider trading.  Employees possessing price-sensitive information must maintain strict discipline and adhere to the Code of Conduct prohibiting insider trading.
codeofconduct17june25.txt,12,What are the consequences of violating the Code of Conduct?,"Consequences range from verbal warnings to termination, depending on the severity of the offense.  Angel One Group employs a structured approach to handle violations, as detailed in the Disciplinary Policy."
codeofconduct17june25.txt,13,What information is required to be declared by employees?,"All employees must declare any family members or relatives associated with Angel One Group, its partners, or other broking houses.  Failure to do so is considered misrepresentation and may lead to disciplinary action."
codeofconduct17june25.txt,14,What is Angel One Group's policy on sexual harassment?,"Sexual harassment is a serious offense and is addressed through the PRoSH Policy, which defines sexual harassment and outlines the procedures to be followed if incidents occur."
codeofconduct17june25.txt,15,What is Angel One Group's policy on data protection and security?,"Employees must comply with all data protection laws and regulations, handle data securely, follow strict access protocols, and report any security incidents immediately. Regular security training is mandatory."
codeofconduct17june25.txt,16,What are the key functions of the Board of Directors?,"The Board of Directors is responsible for reviewing corporate strategy, monitoring performance, selecting key personnel, managing conflicts of interest, ensuring the integrity of financial reporting, and overseeing disclosures and communications.  Their responsibilities are detailed in Section 7 of the Code."
codeofconduct17june25.txt,17,What is Angel One Group's policy on non-solicitation of employees?,"For 12 months after separation, employees are prohibited from soliciting, employing, or encouraging Angel One Group employees to leave the company."
codeofconduct17june25.txt,18,What is Angel One Group's policy regarding the use of company assets?,"Company assets must be used only for legitimate business purposes.  Unauthorized removal of property, misuse of electronic resources, and accessing inappropriate online content are strictly prohibited."
codeofconduct17june25.txt,19,What constitutes misconduct under this Code?,"Misconduct includes various acts relating to duty (e.g., negligence, insubordination), morality (e.g., theft, dishonesty), and personal indiscretion (e.g., abusive language, sexual harassment).  The provided list is not exhaustive."
codeofconduct17june25.txt,20,Where can I find more detailed information on specific policies mentioned in this Code of Conduct?,"Many sections of this Code refer to other specific policies, such as the Conflict of Interest Policy, Gift and Hospitality Policy, and various others,  accessible through Darwinbox."
Confirmation.txt,1,What is the duration of the probationary period for Management Trainees?,The probationary period for all Management Trainees is one year.
Confirmation.txt,2,What factors determine whether a Management Trainee is confirmed?,"Confirmation depends on cultural fitment, alignment of employee expectations with organizational goals, personal conduct and integrity, and performance review."
Confirmation.txt,3,How is 'cultural fitment' assessed?,The specific methods for assessing cultural fitment are not detailed in this document.  It is best to discuss this with your manager or HR representative.
Confirmation.txt,4,What happens if my expectations don't perfectly align with the organization's?,A mismatch of expectations doesn't automatically disqualify confirmation.  Open communication and a willingness to adapt are key.  Discuss any concerns with your manager.
Confirmation.txt,5,How is personal conduct and integrity evaluated?,"This is assessed through observation, feedback, and adherence to company policies and ethical standards.  Specific examples of unacceptable conduct will be covered in company training and guidelines."
Confirmation.txt,6,What type of performance review is used for confirmation?,The specific type of performance review is not defined in this document.  Inquire with your manager or HR for details on the performance review process.
Confirmation.txt,7,What if my performance review is negative? Does that automatically mean I won't be confirmed?,"A negative performance review is a significant factor, but not necessarily an automatic disqualification.  It initiates a discussion regarding improvement plans and potential remedial actions."
Confirmation.txt,8,Are there any exceptions to the one-year probationary period?,This document doesn't specify exceptions.  Any exceptions would need to be approved by the relevant management and HR departments.
Confirmation.txt,9,What are the consequences of not being confirmed after the probationary period?,Failure to meet the confirmation criteria may result in termination of employment.  Specific procedures will be detailed separately.
Confirmation.txt,10,When will I receive feedback on my progress during the probationary period?,"Regular feedback should be provided by your manager, the frequency of which will depend on company procedures.  Discuss with your manager for clarification."
Confirmation.txt,11,Who is responsible for informing me about the probationary period requirements?,Your manager and the HR department are responsible for communicating the requirements of the probationary period.
Confirmation.txt,12,What happens if I have questions or concerns during my probationary period?,Contact your manager or the HR department to address any questions or concerns.  Open communication is crucial.
Confirmation.txt,13,Is this probationary period policy applicable to all Management Trainees across all departments?,"This document indicates the policy applies to all Management Trainees.  However, seek clarification from HR if there are doubts."
Confirmation.txt,14,When does my probationary period officially begin?,Your start date as a Management Trainee signifies the commencement of your probationary period. Refer to your employment contract for details.
Confirmation.txt,15,Does this document supersede any previous verbal agreements regarding probation?,"Yes, this written document supersedes all prior communications, whether written or verbal, on the subject of Management Trainee probation."
Confirmation.txt,16,Where can I find more information about the performance review process?,Consult your manager or the HR department for details on the specific performance review process and timelines.
Confirmation.txt,17,What if I believe the assessment of my cultural fitment or performance is unfair?,Follow the company's internal grievance procedure to address any concerns regarding unfair assessment.
Confirmation.txt,18,How is the 'alignment of employee's expectation with that of the organization' evaluated?,"This is assessed through performance reviews, regular check-ins with your manager, and your overall contribution to organizational goals."
Confirmation.txt,19,When will I be officially informed about my confirmation status?,Confirmation will be communicated to you by your manager and HR within a reasonable timeframe before or after the probationary period concludes.
Confirmation.txt,20,Can I appeal a decision regarding my confirmation?,"The policy does not specify an appeals process.  However, you should discuss any concerns with your manager and HR to explore available options."
Conflict of Interest Policy.txt,1,What is the purpose of this Conflict of Interest Policy?,"This policy ensures Angel One's business operates ethically and legally, preventing conflicts between employees' personal interests and the company's duties to clients. It outlines how to identify and manage such conflicts."
Conflict of Interest Policy.txt,2,Who does this policy apply to?,"This policy applies to all directors, senior management, employees, and personnel of Angel One globally.  It also applies to other parties as deemed necessary by the company."
Conflict of Interest Policy.txt,3,What constitutes a conflict of interest under this policy?,"A conflict of interest occurs when an employee's personal interests interfere, or appear to interfere, with Angel One's interests or its duty to clients. This includes situations where personal benefit is derived from the employee's position, or where objectivity and effective duty performance are compromised."
Conflict of Interest Policy.txt,4,What are my obligations as an employee regarding conflicts of interest?,"You must maintain integrity, treat clients fairly, avoid conflicts between personal and company interests, disclose potential conflicts, and follow company measures to prioritize Angel One's and its clients' interests.  You are also prohibited from certain activities listed in section 'Obligations of Employees'."
Conflict of Interest Policy.txt,5,Can I have a second job or engage in freelance work?,"No, full-time or part-time employment, positions of responsibility, or running a business outside your employment with Angel One, including freelancing, is prohibited unless prior approval is obtained from the Human Resources Department."
Conflict of Interest Policy.txt,6,How do I disclose a potential conflict of interest?,"Use the prescribed forms (Annexure A for professional conflicts and Annexure B for personal conflicts) and submit them as required.  Annual declarations are due in March, and any changes or new conflicts must be reported immediately."
Conflict of Interest Policy.txt,7,What happens if I identify a potential conflict of interest involving another employee?,Report the situation according to the procedures outlined in Angel One's Disciplinary Policy.  Good-faith reporting is protected under the company's Whistleblower Policy.
Conflict of Interest Policy.txt,8,What if I discover a business opportunity through my work at Angel One?,"You must fully disclose the opportunity in writing to Angel One.  If the company declines to pursue it, you may then be allowed to pursue it yourself."
Conflict of Interest Policy.txt,9,What are the consequences of breaching this policy?,"Failure to comply with this policy, including non-submission of required forms, can result in disciplinary action, penalties under applicable law, and may even lead to termination of employment, as per the company’s Code of Conduct and Employment Agreement."
Conflict of Interest Policy.txt,10,How frequently is this policy reviewed?,"This policy is reviewed frequently by Angel One, and the company reserves the right to modify, amend, or replace it at its discretion. Employees must adhere to the latest version."
Conflict of Interest Policy.txt,11,What is considered a 'Relative' for the purposes of this policy?,"A 'Relative' includes a wide range of family members, including spouse, domestic partner, siblings, children, parents, and extended family members who might influence or be influenced by the employee."
Conflict of Interest Policy.txt,12,What should I do if I'm unsure if a situation constitutes a conflict of interest?,Disclose the potential conflict. It’s better to err on the side of caution and report any situation that could be interpreted as a conflict of interest. The company will provide guidance.
Conflict of Interest Policy.txt,13,Does this policy supersede any other company policies or agreements?,"No. This policy should be read in conjunction with applicable laws and regulations, the Company’s Code of Conduct, Employee Handbook, your Employment Agreement, and any other specific agreements with the company.  If laws are stricter, they take precedence."
Conflict of Interest Policy.txt,14,Is this policy applicable internationally?,"Yes, this policy applies globally. While employees are subject to local laws in other countries, the principles of this policy must be followed regardless."
Conflict of Interest Policy.txt,15,What if my Relative works for a company that does business with Angel One?,This is a potential conflict of interest and must be reported using Annexure B.
Conflict of Interest Policy.txt,16,What if I have investments that could potentially conflict with my work at Angel One?,You must disclose these investments using Annexure A. Angel One will assess if it presents a conflict and will provide guidance.
Conflict of Interest Policy.txt,17,How will Angel One monitor compliance with this policy?,"Angel One will monitor compliance through regular reviews, audits, and investigations."
Conflict of Interest Policy.txt,18,What type of disciplinary actions can be taken for non-compliance?,"Non-compliance can lead to disciplinary action, up to and including termination of employment or contractual relationships. Legal action may also be taken."
Conflict of Interest Policy.txt,19,Where can I find the Annexure A and Annexure B forms?,The Annexure A (Professional Conflict of Interest Disclosure Form) and Annexure B (Personal Conflict of Interest Disclosure Form) are attached to this policy document.
Conflict of Interest Policy.txt,20,What is the process for Angel One to respond to my conflict of interest disclosure?,The company will respond within a reasonable timeframe to enable you to take necessary action to resolve or avoid the conflict.
Corporate Communication Policy.txt,1,What is the purpose of this Corporate Communication Policy?,"This policy provides guidelines for handling external communication for Angel One Ltd., ensuring timely and relevant information disclosure, maintaining consistency, and preventing misinterpretations or legal issues."
Corporate Communication Policy.txt,2,Who does this policy apply to?,"This policy applies to all Angel One Ltd. employees, subsidiaries, divisions, and board members. It covers communication with all external news media (broadcast, online, social, print) and participation in external forums/events."
Corporate Communication Policy.txt,3,What are the key objectives of this policy?,"The policy aims to ensure consistent and effective communication, prevent legal consequences from unauthorized statements, and explain Angel One's approach to media communication."
Corporate Communication Policy.txt,4,What are the guidelines for consistent and transparent communication?,"All communication must be truthful, fair, accurate, transparent, based on reliable information, and consistent with brand standards and core values."
Corporate Communication Policy.txt,5,Who is authorized to speak to the media about confidential financial information?,"Only the CMD, CEO, and CGO are authorized to speak to the media about confidential numbers and key business metrics.  Publicly available information only should be disclosed;  'off-the-record' communication is not permitted."
Corporate Communication Policy.txt,6,How should I handle media inquiries if I am not an approved spokesperson?,"Refer all media calls to the Corporate Communications and PR team. Respond by stating, 'I am not an authorized spokesperson for Angel One and you can contact our authorized spokesperson.'"
Corporate Communication Policy.txt,7,What is the process for submitting an editorial piece or attending an interview panel?,Refer all such requests to the Corporate Communications and PR team for coordination.
Corporate Communication Policy.txt,8,"How should I attribute views on stocks, sectors, economy, or markets when speaking to the media?","Always position views as 'Angel One's view' or 'Our view,' ensuring that all views have corporate approval. No individual views should be presented as the company's official position."
Corporate Communication Policy.txt,9,What should I do if a media request involves a topic outside my expertise?,Refer the request to the Corporate Communications and PR team.
Corporate Communication Policy.txt,10,What is the procedure if the compliance team has filed information with the exchanges?,"The spokesperson can share the information with the media on behalf of Angel One, not in a personal capacity."
Corporate Communication Policy.txt,11,How should crisis situations be handled?,Immediately report any incident that could attract media attention or damage Angel One's reputation to the Corporate Communications and PR team. Adhere to the Crisis Communication Protocol.
Corporate Communication Policy.txt,12,What are the guidelines for social media usage?,"Employees must maintain confidentiality, ensure message uniformity, avoid bringing Angel One into disrepute, refrain from attacking colleagues or clients, not post anonymously, and not publish sensitive information.  Prior approval is required for any group, page, blog, website or network mentioning Angel One."
Corporate Communication Policy.txt,13,What is the dress code for media interactions and external events?,Authorized spokespersons should wear smart casuals for all interviews and meetings with journalists. Avoid stripes or prints that reflect light in video interviews.  Similar standards apply to external events.
Corporate Communication Policy.txt,14,How are media spokespersons selected?,"Key spokespersons are appointed based on their knowledge, experience, and expertise. Corporate Communications and the Management Team develop and implement the selection strategy.  The updated list is available in the Angel Darwin box (under HR Documents)."
Corporate Communication Policy.txt,15,"What speaking opportunities are available to employees beyond the CMD, CEO, and CGO?","Other spokespersons may participate in webinars and panels, but will not interact with the media regarding the company's overall position and outlook."
Corporate Communication Policy.txt,16,Where can I find the list of authorized spokespersons?,The list of authorized spokespersons is available in the Angel Darwin box (under HR Documents).
Corporate Communication Policy.txt,17,What happens if I violate this policy?,Violation of the policy will be treated as a breach and may result in disciplinary action.  The Code of Conduct & Ethics supersedes this policy.
Corporate Communication Policy.txt,18,When did this policy become effective?,"The policy is effective from August 1st, 2023."
Corporate Communication Policy.txt,19,Who is responsible for maintaining and updating this policy?,The PR & Corporate Communications Department is responsible for maintaining and updating this policy.
Corporate Communication Policy.txt,20,What regulatory guidelines must be followed in external communications?,"Authorized spokespersons are responsible for adhering to all applicable regulatory guidelines for external communication, in addition to this internal Media Policy & Guidelines.  The Compliance Team will provide updates on regulatory changes."
Dress Code Policy.txt,1,What is the purpose of this dress code policy?,The policy aims to establish a dress code that allows employees to work comfortably while maintaining a professional image that aligns with the company's business objectives.
Dress Code Policy.txt,2,Who does this dress code policy apply to?,"This policy applies to all Board of Directors, Senior Management, employees, and other constituents at Angel."
Dress Code Policy.txt,3,What is the standard dress code for most employees?,"The standard dress code is smart casuals for all working days, except for specific exceptions noted below."
Dress Code Policy.txt,4,What are considered appropriate smart casuals for men?,"Men can wear smart denims, chinos, pants, trousers, or corduroys paired with polo shirts, collarless T-shirts, plain or checkered shirts, or khakis.  Accessories like belts and jackets should be understated, and footwear must be well-polished leather shoes, smart shoes, or sneakers."
Dress Code Policy.txt,5,What are considered appropriate smart casuals for women?,"Women can wear Indian wear or smart casual western wear such as denims, pants, skirts (below knee-length), or dresses (below knee-length) paired with tops, shirts, or T-shirts with or without collars.  Accessories like jewelry, belts, and scarves should be understated. Footwear includes heels, flat sandals, ballerinas, or sneakers."
Dress Code Policy.txt,6,When should I wear business formals?,"Business formals are required for Sales employees in the Client Acquisition department and any employee meeting clients, external stakeholders, associates, or appearing before the media."
Dress Code Policy.txt,7,What types of clothing are NOT considered appropriate?,"Avoid fancy, overly casual, loud, or sheer clothing.  Examples include gowns, skirts above the knee, spaghetti straps, off-shoulder tops, T-shirts with offensive taglines, tight-fitting pajama pants, shorts, track pants, torn denims, capri pants, or slacks. Slippers, floaters, flip-flops, and overly loud accessories are also inappropriate."
Dress Code Policy.txt,8,What are the basic grooming guidelines?,"All employees are expected to maintain a neat, professional, and sophisticated appearance that aligns with the company's corporate image."
Dress Code Policy.txt,9,Who can I contact if I have questions about the dress code?,"Contact Bright Onyx (bright.onyx@angelbroking.com), Harshada Haldankar (harshada.haldankar@angelbroking.com), or Boneya Sam (boneya.sam@angelbroking.com) for assistance."
Dress Code Policy.txt,10,What is the process for reporting a dress code violation?,The policy document doesn't specify a formal reporting process for violations.  Contact the individuals listed in the contact matrix for clarification.
Dress Code Policy.txt,11,Are there any penalties for violating the dress code?,The policy document does not specify penalties for dress code violations. It's recommended to contact the designated personnel for guidance.
Dress Code Policy.txt,12,When did this dress code policy go into effect?,"The policy went into effect on July 20th, 2023."
Dress Code Policy.txt,13,When will this policy be reviewed next?,"The next review date is April 1st, 2024."
Dress Code Policy.txt,14,Who is responsible for managing this policy?,The People Relations Team is the policy owner.
Dress Code Policy.txt,15,Are there any exceptions to this dress code policy?,"Yes, the policy explicitly mentions exceptions for specific roles (Sales employees in Client Acquisition) and situations (client meetings, media appearances)."
Dress Code Policy.txt,16,What is the Document ID for this policy?,The Document ID is 2.0
Dress Code Policy.txt,17,Who approved this policy?,Ashish Jose approved this policy.
Dress Code Policy.txt,18,What other policies are related to this dress code?,This policy is related to the Code of Conduct and Ethics policy.
Dress Code Policy.txt,19,Can I wear jeans to work?,"Yes, smart denims are acceptable under the smart casuals dress code, but they should be in good condition (not torn)."
Dress Code Policy.txt,20,What kind of shoes are appropriate for men and women?,"Well-polished leather shoes, smart shoes, or sneakers are acceptable for men. For women, heels, flat sandals, ballerinas, or sneakers are appropriate.  Slippers, floaters, and flip-flops are not allowed."
Employee Grievance User Guide.txt,1,What is the purpose of the Angel One Employee Grievance policy?,"The policy aims to provide a fair and respectful workplace free from discrimination, harassment, bullying, and victimization/retaliation.  It establishes a mechanism for handling employee complaints effectively."
Employee Grievance User Guide.txt,2,What types of grievances are covered by this policy?,"The policy covers grievances related to discrimination, harassment, workplace bullying, and victimization/retaliation.  While the document doesn't explicitly list all possible grievances, it implies a broad scope of issues that violate the principles of dignity and respect in the workplace."
Employee Grievance User Guide.txt,3,How do I file a grievance?,"You must access the ""Employee Grievance"" icon on the Darwinbox Dashboard.  Log in with your email ID and HRMS password.  Then, provide a subject line and a detailed description of your complaint using the text editor provided."
Employee Grievance User Guide.txt,4,What information should I include in my grievance description?,"Provide a clear and concise account of the incident(s), including dates, times, locations, individuals involved, and any supporting evidence.  Be as detailed as possible."
Employee Grievance User Guide.txt,5,What happens after I submit my grievance?,Your request will be assigned to a People Relations representative. They will contact you within 24 hours to discuss your complaint and the next steps in the process.
Employee Grievance User Guide.txt,6,What if I don't have access to the Darwinbox Dashboard?,Contact your HR department immediately to resolve any access issues before filing your grievance. They can assist with login credentials or technical problems.
Employee Grievance User Guide.txt,7,Is there a timeframe for resolving my grievance?,The document doesn't specify a timeframe for resolution beyond the initial 24-hour contact from a People Relations representative.  The overall resolution timeline will depend on the complexity of the grievance.
Employee Grievance User Guide.txt,8,Will my identity be kept confidential?,The document does not explicitly address confidentiality. You should clarify this aspect with the People Relations representative when they contact you.
Employee Grievance User Guide.txt,9,What if I'm uncomfortable filing the grievance electronically?,Contact your HR department directly to explore alternative methods of filing your complaint. They can provide guidance on the available options.
Employee Grievance User Guide.txt,10,What are the potential consequences of submitting a false grievance?,"The policy doesn't explicitly detail penalties for false grievances.  However, submitting false information could lead to disciplinary action, as per company policy."
Employee Grievance User Guide.txt,11,Who is responsible for handling my grievance?,A People Relations representative will be assigned to your case and will be responsible for managing the investigation and resolution of your complaint.
Employee Grievance User Guide.txt,12,What if I am not satisfied with the outcome of the grievance process?,The document doesn't detail appeal procedures.  You should inquire with your People Relations representative or HR department about any further steps you can take if you are dissatisfied.
Employee Grievance User Guide.txt,13,Are there any exceptions to this policy?,"The policy doesn't explicitly list exceptions.  However, specific circumstances might require adjustments to the process. Discuss any unusual circumstances with your HR department."
Employee Grievance User Guide.txt,14,How is the effectiveness of this policy measured?,The document doesn't outline specific metrics for evaluating the policy's effectiveness.  This information would likely be found in separate internal documentation.
Employee Grievance User Guide.txt,15,What training is provided to employees on this grievance policy?,The provided document doesn't mention any training.  Contact your HR department to inquire about any training sessions or resources related to the grievance policy.
Employee Grievance User Guide.txt,16,What support resources are available to employees who have experienced harassment or bullying?,The document doesn't explicitly list these resources.  Contact your HR department to inquire about available support such as employee assistance programs (EAPs) or other resources.
Employee Grievance User Guide.txt,17,What is the role of the Case Manager?,The Case Manager (People Relations representative) is responsible for contacting the requester within 24 hours of submitting the grievance and managing the investigation and resolution process.
Employee Grievance User Guide.txt,18,What is the difference between the Employee Email ID and the HRMS password?,"The Employee Email ID is your company email address.  The HRMS password is your password for accessing the Human Resource Management System (Darwinbox, in this case).  Both are required for login."
Employee Grievance User Guide.txt,19,Where can I find more information about this policy?,"If you require further information or clarification, contact your Human Resources department directly."
Employee Grievance User Guide.txt,20,Can I submit supporting documentation with my grievance?,"The policy doesn't explicitly state this, but it's strongly recommended to include any relevant supporting documentation such as emails, witness statements, or other evidence to strengthen your case."
EMPLOYEE TRANSFER POLICY.txt,1,What is the purpose of this Employee Transfer Policy?,"This policy outlines the process and criteria for employee transfers within the organization.  It ensures fairness, transparency, and alignment with business needs while facilitating talent development and organizational restructuring."
EMPLOYEE TRANSFER POLICY.txt,2,Who does this policy apply to?,"This policy applies to all permanent employees who have completed at least one year of service in their current position. Contract, temporary employees, interns, and those on probation are excluded."
EMPLOYEE TRANSFER POLICY.txt,3,What types of transfers are covered by this policy?,The policy covers organization-initiated transfers and transfers initiated by employee requests via internal job postings.
EMPLOYEE TRANSFER POLICY.txt,4,How does an organization-initiated transfer work?,"The organization initiates the transfer based on business needs. The HR Business Partner discusses the transfer with the employee, obtains consent, and then communicates the details to the HR Ops team for system updates and communication."
EMPLOYEE TRANSFER POLICY.txt,5,How can I apply for an internal job posting?,"You must apply through the designated ""Internal Job Posting"" email ID, submitting your updated resume via the provided link.  Applications through other channels won't be considered. You must also inform your reporting manager before applying."
EMPLOYEE TRANSFER POLICY.txt,6,What are the eligibility criteria for applying for an internal job posting?,"You must be a regular employee with at least one year of service, not on a Performance Enhancement Plan (PEP), have a performance rating of ""ME"" (Meeting Expectations) or higher, have no misconduct or attendance issues in the past 6 months, not be under investigation, and not have been promoted or transferred in the last six months."
EMPLOYEE TRANSFER POLICY.txt,7,How long are internal job postings open?,Internal job postings remain open for applications for 5 business days.
EMPLOYEE TRANSFER POLICY.txt,8,What is the selection process for internal job postings?,"The selection process involves screening based on performance, integrity, discipline, conduct, qualifications, skills, and job-specific requirements. This may include interviews, assessments, and reference checks."
EMPLOYEE TRANSFER POLICY.txt,9,What happens after I apply for an internal job posting?,"All applicants will be notified of the outcome of their application.  If selected, you will be informed of your selection, a mutually agreed-upon release date (following the separation policy's notice period), and details about the new role, including any changes in responsibilities, level, salary, or reporting structure."
EMPLOYEE TRANSFER POLICY.txt,10,How is compensation handled in a transfer?,"If your current job level or compensation doesn't align with the new position, it will be reviewed and revised according to the organization's promotion policy. Relocation expenses may also be covered for transfers to different cities."
EMPLOYEE TRANSFER POLICY.txt,11,What is the application limit for internal job postings?,An employee can apply for a maximum of 3 internal job postings within a 12-month period following their failure to clear an assessment.
EMPLOYEE TRANSFER POLICY.txt,12,What if the company withdraws a job posting or the policy?,"The company reserves the right to withdraw a job posting or the policy at its sole discretion, and this decision will be binding on all employees."
EMPLOYEE TRANSFER POLICY.txt,13,Who should I contact for clarification on this policy?,"For clarification, contact Lissie George. Functional policy owners are responsible for interpretation, and any exceptions must be approved by Lissie George."
EMPLOYEE TRANSFER POLICY.txt,14,Who manages this policy?,The HR - Talent Acquisition Team is the policy owner.
EMPLOYEE TRANSFER POLICY.txt,15,When was this policy implemented?,"This policy was effective from April 1st, 2023."
EMPLOYEE TRANSFER POLICY.txt,16,When is the next review of this policy?,"The next review date is March 31st, 2025."
EMPLOYEE TRANSFER POLICY.txt,17,What happens if I am required to relocate for an IJP?,"Your compensation will be revised to reflect the relocation, either as part of the overall offer or as a separate component."
EMPLOYEE TRANSFER POLICY.txt,18,Are there any penalties for violating this policy?,"The policy does not explicitly state penalties, however, non-compliance with the application process (using unofficial email, not informing manager) could lead to your application being rejected."
EMPLOYEE TRANSFER POLICY.txt,19,What are the contact details for the HR Talent Acquisition team?,"Primary Contact: rahat.sharma@angelbroking.com, Secondary Contact: andleeb.mujeeb@angelbroking.com"
EMPLOYEE TRANSFER POLICY.txt,20,Can I transfer to a different role without applying through an internal job posting?,"No, transfer requests through mediums other than the Internal Job Posting system will not be considered, unless initiated by the organization."
Employee_Refferal_Consollidate_Tabular_Summary.txt,1,What is the purpose of the Employee Referral Program?,The program aims to reward employees for referring qualified candidates who fit Angel Group's culture and contribute to a thriving workplace.  It leverages employee networks to attract top talent.
Employee_Refferal_Consollidate_Tabular_Summary.txt,2,Which Angel Group entities are covered by this policy?,"This policy applies to AngelOne Limited, Angel Financial Advisors Pvt. Ltd., Angel Fincap Pvt. Ltd., and Angel Securities Ltd."
Employee_Refferal_Consollidate_Tabular_Summary.txt,3,Am I eligible to participate in the referral program?,"Most employees are eligible.  However, Assistant Vice Presidents and above, those at T3 and above, managers hiring for their teams, those whose managers are being hired, HR team members, those referring graduate trainees/management trainees, those referring ex-employees, temporary/contract staff, interns, and those referring closely related candidates are excluded."
Employee_Refferal_Consollidate_Tabular_Summary.txt,4,How do I submit a referral?,"Log in to Darwinbox (HRMS), go to the Employee Referral/IJP section, find the relevant job opening, click ""Refer,"" upload the candidate's resume, and follow the portal guidelines."
Employee_Refferal_Consollidate_Tabular_Summary.txt,5,What happens if the candidate's resume is already in the system?,"If the candidate's resume is already in the system or they are a former Angelite, the referral will be paused, and you will receive a notification."
Employee_Refferal_Consollidate_Tabular_Summary.txt,6,How can I track the status of my referral?,You can monitor your referral's status in the Employee Referral/IJP section of the Darwinbox HRMS dashboard.
Employee_Refferal_Consollidate_Tabular_Summary.txt,7,What is the referral bonus amount?,"The bonus varies depending on the referred candidate's grade and job function (Technology, Product, Data and Analytics, or Others).  Refer to section 1.5 of the policy document for the specific amounts."
Employee_Refferal_Consollidate_Tabular_Summary.txt,8,When will I receive my referral bonus?,"For Technology, Product, and Data & Analytics roles, the bonus is paid in a lump sum 90 days after the candidate completes onboarding. For other roles, it's paid in two installments: 50% after 3 months and 50% after 6 months of the referred employee's service."
Employee_Refferal_Consollidate_Tabular_Summary.txt,9,What if multiple employees refer the same candidate?,Only the first referral received will be honored.  Other referrers will be notified of disqualification.
Employee_Refferal_Consollidate_Tabular_Summary.txt,10,What are the important guidelines for making referrals?,Refer only people from your personal network; ensure referred candidates have strong integrity; avoid being on the interview panel for your referral; don't lobby for your candidate; and your referral is valid for 90 days from submission.
Employee_Refferal_Consollidate_Tabular_Summary.txt,11,Do I need to disclose my relationship with the referred candidate?,"Yes, it's crucial to declare any personal or professional relationship with the candidate during the referral process in Darwinbox.  Be honest about the nature of your connection."
Employee_Refferal_Consollidate_Tabular_Summary.txt,12,What happens if I don't follow the referral process guidelines?,"Non-compliance may result in your referral not being considered, loss of referral rewards, and potential disciplinary action."
Employee_Refferal_Consollidate_Tabular_Summary.txt,13,What if my referred candidate leaves the company before the bonus payout?,"For Technology, Product and Data & Analytics roles, the bonus is paid upon completion of onboarding; for other roles, if the candidate does not complete the required 6 months, the bonus will not be fully paid."
Employee_Refferal_Consollidate_Tabular_Summary.txt,14,Can I refer candidates for any position?,You can refer candidates for any open position listed on the Employee Referral Page.
Employee_Refferal_Consollidate_Tabular_Summary.txt,15,Who should I contact if I have questions about the referral program?,Contact your HRBP or the designated contacts listed on the referral portal.
Employee_Refferal_Consollidate_Tabular_Summary.txt,16,Should I inform the candidate I am referring them?,"Yes, it's recommended to inform the candidate that you are referring them to prepare them for potential contact from the company."
Employee_Refferal_Consollidate_Tabular_Summary.txt,17,What happens if my referral is unsuccessful?,"If your referred candidate is not selected, you will be notified after they are informed."
Employee_Refferal_Consollidate_Tabular_Summary.txt,18,How many candidates can I refer?,"You can refer as many candidates as you wish, provided each referral follows the process and meets the eligibility criteria."
Employee_Refferal_Consollidate_Tabular_Summary.txt,19,Is there a time limit for how long my referral is valid?,"Yes, each referral is valid for 90 days from the submission date."
Employee_Refferal_Consollidate_Tabular_Summary.txt,20,Does the company reserve the right to modify or cancel this policy?,"Yes, the company reserves the right to change or discontinue the policy at any time without prior notice. The current terms and conditions supersede all previous communications."
Employment of Relatives.txt,1,What is the objective of Angel One's policy on employing relatives?,"The policy aims to prevent conflicts of interest and maintain a fair and unbiased employment process, ensuring all candidates are assessed solely on merit and qualifications."
Employment of Relatives.txt,2,Who is considered a family member under this policy?,"Family member includes blood relatives (parent, child, grandparent, etc.) and relatives by marriage (spouse, in-laws, etc.), encompassing a broad range of relationships."
Employment of Relatives.txt,3,What is the process for hiring a relative of an existing employee?,"The hiring manager and Talent Acquisition partner identify any familial relationships during screening.  The CHRO must approve the hiring, ensuring the candidate will not report to or be managed by the relative and won't be placed in a position with potential conflicts of interest.  The CHRO also approves the team placement."
Employment of Relatives.txt,4,What happens if a relative is hired and is subsequently promoted to a managerial role over their relative?,"The policy mandates a transfer of either the employee or their relative, as determined by the Talent Acquisition partner and reporting manager."
